,Chinese name,Foreign name,Other name,who,When/Where/What,Score,About
228,黑客帝国2：重装上阵,The Matrix Reloaded,22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),导演:拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski\...,2003/美国/动作科幻,8.7,一个精彩的世界观正在缓缓建立。
229,二十二, ,Twenty Two  /  22,导演:郭柯KeGuo\主演:,2015/中国大陆/纪录片,8.7,有一些东西不应该被遗忘。
230,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,哈利波特7：死神的圣物1(港 / 台) ,导演:大卫·叶茨DavidYates\主演:丹尼尔·雷德克里夫DanielRadcliffe...,2010/英国美国/奇幻冒险,8.5,最忠于原著的一部。
231,血钻,Blood Diamond,血钻石(台)  /  血腥钻石,导演:爱德华·兹威克EdwardZwick\主演:莱昂纳多·迪卡普里奥Leonardo...,2006/美国德国英国/剧情惊悚冒险,8.7,每个美丽事物背后都是滴血的现实。
232,战争之王,Lord of War,军火之王(台 / 港) ,导演:安德鲁·尼科尔AndrewNiccol\主演:尼古拉斯·凯奇NicolasCage/...,2005/美国德国/剧情犯罪,8.7,做一颗让别人需要你的棋子。
233,火星救援,The Martian,火星任务(港)  /  绝地救援(台),导演:雷德利·斯科特RidleyScott\主演:马特·达蒙MattDamon/杰西卡...,2015/英国美国匈牙利约旦/剧情科幻冒险,8.5, 
234,步履不停,歩いても 歩いても,横山家之味(港 / 台) ,导演:是枝裕和HirokazuKoreeda\主演:阿部宽HiroshiAbe/夏川结衣Yu...,2008/日本/剧情家庭,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
235,房间,Room,不存在的房间(台)  /  抖室(港),导演:伦尼·阿伯拉罕森LennyAbrahamson\主演:布丽·拉尔森BrieLarson...,2015/爱尔兰加拿大英国美国/剧情家庭,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
236,魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦,导演:茂文·勒鲁瓦MervynLeRoy\主演:费雯·丽VivienLeigh/罗伯特·...,1940/美国/剧情爱情战争,8.8,中国式内在的美国电影。
237,千年女优,千年女優,Millennium Actress,导演:今敏SatoshiKon\主演:庄司美代子MiyokoShôji/小山茉美Mam...,2001/日本/动画剧情爱情,8.8,爱情是一场没有尽头的虚幻追逐。
238,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),导演:保罗·格林格拉斯PaulGreengrass\主演:马特·达蒙MattDamon/...,2004/美国德国/动作悬疑惊悚,8.7,谁说王家卫镜头很晃？
239,白日梦想家,The Secret Life of Walter Mitty,发梦王大历险(港)  /  白日梦冒险王(台),导演:本·斯蒂勒BenStiller\主演:本·斯蒂勒BenStiller/克里斯汀·...,2013/美国英国/剧情喜剧冒险,8.6, 
240,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,哈利波特5：凤凰会的密令(港 / 台) ,导演:大卫·叶茨DavidYates\主演:丹尼尔·雷德克里夫DanielRadcliffe...,2007/英国美国/奇幻冒险,8.5, 
241,弱点,The Blind Side,守护有心人(港)  /  攻其不备(台),导演:约翰·李·汉考克JohnLeeHancock\主演:桑德拉·布洛克SandraBu...,2009/美国/剧情家庭传记运动,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
242,蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),导演:鲍勃·佩尔西凯蒂BobPersichetti/彼得·拉姆齐PeterRamsey\主...,2018/美国/动作科幻动画冒险,8.6, 
243,高山下的花环, ,卫国军魂(港)  /  Wreaths at the Foot of the Mountain,导演:谢晋JinXie\主演:吕晓禾XiaoheLü/唐国强GuoqiangTang/何...,1984(中国大陆)/1985/中国大陆/剧情战争,9.5, 
244,谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台),导演:道格·里曼DougLiman\主演:马特·达蒙MattDamon/弗兰卡·波坦...,2002/美国德国捷克/动作悬疑惊悚,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
245,阿飞正传,阿飛正傳,Days of Being Wild,导演:王家卫KarWaiWong\主演:张国荣LeslieCheung/张曼玉MaggieC...,1990/中国香港/犯罪剧情爱情,8.5,王家卫是一种风格，张国荣是一个代表。
246,朗读者,The Reader,为爱朗读(台)  /  读爱(港),导演:史蒂芬·戴德利StephenDaldry\主演:凯特·温丝莱特KateWinslet...,2008/美国德国/剧情爱情,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
247,再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生,导演:约翰·卡尼JohnCarney\主演:凯拉·奈特莉KeiraKnightley/马克...,2013/美国/喜剧爱情音乐,8.6,爱我就给我看你的播放列表。
248,燃情岁月,Legends of the Fall,秋日传奇  /  真爱一世情(台),导演:爱德华·兹威克EdwardZwick\主演:布拉德·皮特BradPitt/安东...,1994/美国/剧情爱情战争西部,8.7,传奇，不是每个人都可以拥有。
249,大红灯笼高高挂, ,Raise The Red Lantern  /  Épouses et concubines,导演:张艺谋YimouZhang\主演:巩俐LiGong/马精武JingwuMa/何赛...,1991/中国大陆中国香港中国台湾/剧情,8.8, 
